EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2,37,1,Travel_Rarely,1141,Research & Development,11,College,Medical,Low,Female,61,Low,2,Healthcare Representative,Medium,Married,4777,14382,5,No,15,High,Low,80,0,15,2,Low,1,0,0,0
3,51,1,Travel_Rarely,1323,Research & Development,4,Master,Life Sciences,Low,Male,34,High,1,Research Scientist,High,Married,2461,10332,9,Yes,12,High,High,80,3,18,2,Outstanding,10,0,2,7
4,42,0,Travel_Frequently,555,Sales,26,Bachelor,Marketing,High,Female,77,High,4,Sales Executive,Medium,Married,13525,14864,5,No,14,High,Very High,80,1,23,2,Outstanding,20,4,4,8
7,40,0,Travel_Rarely,1124,Sales,1,College,Medical,Medium,Male,57,Low,2,Sales Executive,Very High,Married,7457,13273,2,Yes,22,Very High,High,80,3,6,2,Good,4,3,0,2
8,55,1,Travel_Rarely,725,Research & Development,2,Bachelor,Medical,Very High,Male,78,High,5,Manager,Low,Married,19859,21199,5,Yes,13,High,Very High,80,1,24,2,Excellent,5,2,1,4
9,36,0,Travel_Frequently,635,Research & Development,18,Below College,Medical,Medium,Female,73,High,1,Laboratory Technician,Very High,Single,2153,7703,1,No,13,High,Low,80,0,8,2,Excellent,8,1,1,7
10,32,0,Travel_Rarely,1018,Research & Development,3,College,Life Sciences,High,Female,39,High,3,Research Director,Very High,Single,11159,19373,3,No,15,High,Very High,80,0,10,6,Excellent,7,7,7,7
11,25,0,Travel_Rarely,583,Sales,4,Below College,Marketing,High,Male,87,Medium,2,Sales Executive,Low,Married,4256,18154,1,No,12,High,Low,80,0,5,1,Outstanding,5,2,0,3
12,20,1,Travel_Rarely,129,Research & Development,4,Bachelor,Technical Degree,Low,Male,84,High,1,Laboratory Technician,Low,Single,2973,13008,1,No,19,High,Medium,80,0,1,2,Excellent,1,0,0,0
14,42,0,Travel_Rarely,810,Research & Development,23,Doctor,Life Sciences,Low,Female,44,High,4,Research Director,Very High,Single,15992,15901,2,No,14,High,Medium,80,0,16,2,Excellent,1,0,0,0
15,31,0,Travel_Rarely,616,Research & Development,12,Bachelor,Medical,Very High,Female,41,High,2,Healthcare Representative,Very High,Married,5855,17369,0,Yes,11,High,High,80,2,10,2,Low,9,7,8,5
16,38,0,Non-Travel,573,Research & Development,6,Bachelor,Medical,Medium,Female,79,Low,2,Research Scientist,Very High,Divorced,5329,15717,7,Yes,12,High,Very High,80,3,17,3,Excellent,13,11,1,9
17,39,0,Travel_Rarely,408,Research & Development,2,Master,Technical Degree,Very High,Female,80,Medium,2,Healthcare Representative,High,Single,4553,20978,1,No,11,High,Low,80,0,20,4,Excellent,20,7,11,10
18,54,0,Travel_Rarely,821,Research & Development,5,College,Medical,Low,Male,86,High,5,Research Director,Low,Married,19406,8509,4,No,11,High,High,80,1,24,4,Good,4,2,1,2
20,49,0,Travel_Rarely,1098,Research & Development,4,College,Medical,Low,Male,85,Medium,5,Manager,High,Married,18711,12124,2,No,13,High,High,80,1,23,2,Outstanding,1,0,0,0
21,24,0,Travel_Rarely,691,Research & Development,23,Bachelor,Medical,Medium,Male,89,Very High,1,Research Scientist,Very High,Married,2725,21630,1,Yes,11,High,Medium,80,2,6,3,Excellent,6,5,1,4
22,40,0,Travel_Rarely,302,Research & Development,6,Bachelor,Life Sciences,Medium,Female,75,High,4,Manufacturing Director,High,Single,13237,20364,7,No,15,High,High,80,0,22,3,Excellent,20,6,5,13
23,41,0,Non-Travel,267,Sales,10,College,Life Sciences,Very High,Male,56,High,2,Sales Executive,Very High,Single,6230,13430,7,No,14,High,Very High,80,0,16,3,Excellent,14,3,1,10
24,32,0,Travel_Rarely,588,Sales,8,College,Technical Degree,High,Female,65,Medium,2,Sales Executive,Medium,Married,5228,24624,1,Yes,11,High,Very High,80,0,13,2,Excellent,13,12,11,9
25,24,1,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,Medium,Male,61,High,1,Research Scientist,Very High,Married,2293,3020,2,Yes,16,High,Low,80,1,6,2,Good,2,0,2,0
